Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20171101;1;2471,614;
20171101;2;2359,052;
20171101;3;2255,352;
20171101;4;2215,416;
20171101;5;2222,586;
20171101;6;2241,226;
20171101;7;2321,104;
20171101;8;2389,167;
20171101;9;2492,814;
20171101;10;2616,856;
20171101;11;2646,912;
20171101;12;2646,577;
20171101;13;2827,967;
20171101;14;2967,514;
20171101;15;3131,363;
20171101;16;3407,376;
20171101;17;3582,039;
20171101;18;3788,537;
20171101;19;3981,677;
20171101;20;4112,350;
20171101;21;4164,702;
20171101;22;4143,329;
20171101;23;4092,097;
20171101;24;4250,866;
20171102;1;4301,090;
20171102;2;4099,088;
20171102;3;4065,451;
20171102;4;3926,655;
20171102;5;3611,640;
20171102;6;3530,090;
20171102;7;3657,951;
20171102;8;3749,649;
20171102;9;3803,138;
20171102;10;3685,097;
20171102;11;3597,104;
20171102;12;3378,540;
20171102;13;3041,013;
20171102;14;3060,730;
20171102;15;3005,351;
20171102;16;2940,338;
20171102;17;2986,775;
20171102;18;3009,091;
20171102;19;2930,888;
20171102;20;2759,148;
20171102;21;2541,763;
20171102;22;2342,991;
20171102;23;2167,353;
20171102;24;1954,764;
20171103;1;1726,316;
20171103;2;1521,100;
20171103;3;1529,216;
20171103;4;1363,939;
20171103;5;1252,162;
20171103;6;1151,400;
20171103;7;1020,051;
20171103;8;897,439;
20171103;9;775,238;
20171103;10;730,789;
20171103;11;655,475;
20171103;12;661,188;
20171103;13;633,427;
20171103;14;579,587;
20171103;15;487,478;
20171103;16;513,813;
20171103;17;523,149;
20171103;18;543,350;
20171103;19;633,116;
20171103;20;737,528;
20171103;21;854,229;
20171103;22;871,314;
20171103;23;875,138;
20171103;24;992,479;
20171104;1;1082,338;
20171104;2;1179,804;
20171104;3;1227,739;
20171104;4;1271,452;
20171104;5;1308,789;
20171104;6;1365,613;
20171104;7;1408,513;
20171104;8;1421,601;
20171104;9;1248,689;
20171104;10;1029,401;
20171104;11;958,739;
20171104;12;960,838;
20171104;13;1024,587;
20171104;14;1077,249;
20171104;15;1107,886;
20171104;16;1314,216;
20171104;17;1833,815;
20171104;18;2324,865;
20171104;19;2671,128;
20171104;20;2884,029;
20171104;21;3011,439;
20171104;22;2975,304;
20171104;23;2881,290;
20171104;24;2873,379;
20171105;1;2902,964;
20171105;2;2857,478;
20171105;3;2790,078;
20171105;4;2755,576;
20171105;5;2725,689;
20171105;6;2832,152;
20171105;7;2811,767;
20171105;8;2603,612;
20171105;9;2176,726;
20171105;10;1539,829;
20171105;11;1085,267;
20171105;12;924,690;
20171105;13;934,263;
20171105;14;1049,701;
20171105;15;1164,737;
20171105;16;1334,066;
20171105;17;1787,328;
20171105;18;2060,664;
20171105;19;2189,393;
20171105;20;2080,003;
20171105;21;1994,626;
20171105;22;1997,190;
20171105;23;1783,989;
20171105;24;1568,042;
20171106;1;1523,766;
20171106;2;1464,487;
20171106;3;1299,151;
20171106;4;1115,913;
20171106;5;934,639;
20171106;6;849,000;
20171106;7;874,702;
20171106;8;843,679;
20171106;9;737,039;
20171106;10;572,128;
20171106;11;456,800;
20171106;12;431,974;
20171106;13;380,239;
20171106;14;433,302;
20171106;15;369,025;
20171106;16;284,737;
20171106;17;350,203;
20171106;18;380,916;
20171106;19;446,464;
20171106;20;443,277;
20171106;21;456,516;
20171106;22;449,652;
20171106;23;426,390;
20171106;24;398,441;
