Date;hours;energy
20171201;1;1555,227
20171201;2;1720,327
20171201;3;1888,601
20171201;4;2089,84
20171201;5;2228,84
20171201;6;2384,425
20171201;7;2391,014
20171201;8;2548,011
20171201;9;2580,638
20171201;10;2602,639
20171201;11;2729,578
20171201;12;2581,725
20171201;13;2460,69
20171201;14;2241,009
20171201;15;2020,94
20171201;16;1893,253
20171201;17;1845,561
20171201;18;1742,474
20171201;19;1781,788
20171201;20;1619,077
20171201;21;1424,568
20171201;22;1194,452
20171201;23;1027,303
20171201;24;834,314
20171202;1;700,539
20171202;2;606,508
20171202;3;571,713
20171202;4;529,685
20171202;5;454,485
20171202;6;320,551
20171202;7;272,273
20171202;8;232,648
20171202;9;204,286
20171202;10;176,863
20171202;11;121,011
20171202;12;108,233
20171202;13;137,461
20171202;14;136,973
20171202;15;156,721
20171202;16;187,885
20171202;17;237,249
20171202;18;335,497
20171202;19;385,835
20171202;20;427,749
20171202;21;536,71
20171202;22;522,71
20171202;23;518,238
20171202;24;530,01
20171203;1;613,859
20171203;2;680,485
20171203;3;748,475
20171203;4;881,397
20171203;5;1094,687
20171203;6;1231,26
20171203;7;1352,325
20171203;8;1420,46
20171203;9;1619,975
20171203;10;1836,225
20171203;11;1867,71
20171203;12;1859,214
20171203;13;2004,173
20171203;14;2045,403
20171203;15;2074,301
20171203;16;2131,864
20171203;17;2315,265
20171203;18;2502,79
20171203;19;2521,676
20171203;20;2560,388
20171203;21;2708,09
20171203;22;2636,774
20171203;23;2684,615
20171203;24;2744,991
20171204;1;2680,778
20171204;2;2556,617
20171204;3;2597,891
20171204;4;2736,903
20171204;5;2857,198
20171204;6;2773,553
20171204;7;2643,679
20171204;8;2583,564
20171204;9;2615,101
20171204;10;2399,102
20171204;11;2365,302
20171204;12;2473,726
20171204;13;2489,425
20171204;14;2474,292
20171204;15;2375,426
20171204;16;2221,528
20171204;17;2273,942
20171204;18;2530,561
20171204;19;2610,686
20171204;20;2693,626
20171204;21;2566,605
20171204;22;2491,501
20171204;23;2401,525
20171204;24;2381,792
