Data;Godzina;CEPS_EXP;CEPS_IMP;CZ;SEPS_EXP;SEPS_IMP;SE;50HzT_EXP;50HzT_IMP;DE;SVK_EXP;SVK_IMP;SE;UA_IMP;UA;LIT_EXP;LIT_IMP;LIT;;;Wymiana Miêdzysystemowa równoleg³a
20180101;1;-616,4;4;-612,4;-348,8;0;-348,8;0;1117,8;1117,8;0;0;0;0;0;0;0;0;;;CEPS - przekrój handlowy polsko-czeski
20180101;2;-719,7;0;-719,7;-431,6;0;-431,6;0;1130,55;1130,55;-3,74;0;-3,74;0;0;-2,35;0;-2,35;;;SEPS - przekrój handlowy polsko-s³owacki
20180101;3;-735,3;0;-735,3;-431,7;0;-431,7;0;1203,9;1203,9;-173,49;0;-173,49;0;0;-232,46;0;-232,46;;;50Hertz - przekrój handlowy polsko-niemiecki
20180101;4;-819,8;0,4;-819,4;-424,2;0;-424,2;0;1240,05;1240,05;-249,4;0;-249,4;0;0;-377,81;0;-377,81;;;Wymiana Miêdzysystemowa nierównoleg³a
20180101;5;-834;1,6;-832,4;-435,4;0;-435,4;0;1259,85;1259,85;-371,58;0;-371,58;0;0;-466,6;0;-466,6;;;SvK - przekrój handlowy polsko-szwedzki (po³¹czenie pr¹du sta³ego Polska-Szwecja)
20180101;6;-820;14;-806;-439,2;0;-439,2;0;1238,1;1238,1;-358,27;0;-358,27;0;0;-427,99;0;-427,99;;;NEK Ukrenergo - przekrój handlowy polsko-ukraiñski
20180101;7;-803,7;36,2;-767,5;-443,8;0;-443,8;0;1287,15;1287,15;-199,24;0;-199,24;0;0;-232,84;0;-232,84;;;Litgrid - przekrój handlowy polsko-litewski
20180101;8;-715;44,8;-670,2;-461,7;0;-461,7;0;1147,95;1147,95;-241,36;0;-241,36;0;0;-89,9;0;-89,9;;;"Eksport - oznacza eksport energii z Polski (znak ""-"")"
20180101;9;-664,7;54,2;-610,5;-479;0;-479;0;1095,45;1095,45;-191,95;0;-191,95;0;0;-141,2;0;-141,2;;;"Import - oznacza import energii do Polski (znak ""+"")"
20180101;10;-694,4;68,4;-626;-463,5;0;-463,5;0;1129,95;1129,95;-185,41;0;-185,41;0;0;-272,93;0;-272,93;;;
20180101;11;-708,6;43,2;-665,4;-465,8;0;-465,8;0;1114,8;1114,8;-0,21;0;-0,21;0;0;-2,41;0;-2,41;;;
20180101;12;-664,8;11,2;-653,6;-486,6;0;-486,6;0;1122,15;1122,15;0;0;0;0;0;0;0;0;;;
20180101;13;-599,8;2,8;-597;-440,7;0;-440,7;0;1070,55;1070,55;0;0;0;0;0;0;0,04;0,04;;;
20180101;14;-543,8;11,8;-532;-336;0;-336;0;884,85;884,85;0;0;0;0;0;0;0,11;0,11;;;
20180101;15;-616,9;3,8;-613,1;-290,1;0;-290,1;0;977,1;977,1;0;1,1;1,1;0;0;0;0;0;;;
20180101;16;-722,5;0;-722,5;-284,5;0;-284,5;0;1058,1;1058,1;0;182,4;182,4;0;0;0;0;0;;;
20180101;17;-642,4;0;-642,4;-269,2;0;-269,2;0;1116,6;1116,6;0;499,1;499,1;0;0;0;12,48;12,48;;;
20180101;18;-376;26,6;-349,4;-217,8;0;-217,8;0;949,2;949,2;0;597,4;597,4;0;0;0;481,07;481,07;;;
20180101;19;-365;27,2;-337,8;-215,1;0;-215,1;0;1065;1065;0;597,4;597,4;0;0;0;486,48;486,48;;;
20180101;20;-328,6;32,8;-295,8;-185,4;0;-185,4;0;997,35;997,35;0;597,4;597,4;0;0;0;486,53;486,53;;;
20180101;21;-445;14,4;-430,6;-262,2;0;-262,2;0;887,1;887,1;0;597,5;597,5;0;0;0;486,81;486,81;;;
20180101;22;-387;16,6;-370,4;-206;0;-206;0;920,25;920,25;0;597,5;597,5;0;0;0;486,7;486,7;;;
20180101;23;-416,7;11,8;-404,9;-151,6;0;-151,6;0;881,4;881,4;0;597,5;597,5;0;0;0;478,28;478,28;;;
20180101;24;-401,3;7,2;-394,1;-140,4;0;-140,4;0;742,05;742,05;0;483,7;483,7;0;0;0;62;62;;;
20180102;1;-626,4;0;-626,4;-181,3;0;-181,3;0;823,05;823,05;0;26,7;26,7;81,577;81,577;0;0,38;0,38;;;
20180102;2;-569,7;4,2;-565,5;-136,2;0;-136,2;0;738;738;0;0;0;106,299;106,299;0;0,11;0,11;;;
20180102;3;-541,7;24;-517,7;-128,8;0;-128,8;0;634,2;634,2;0;0;0;145,425;145,425;0;0;0;;;
20180102;4;-483,4;26,2;-457,2;-109,5;0;-109,5;0;565,95;565,95;0;0;0;152,446;152,446;0;0;0;;;
20180102;5;-576,6;13,6;-563;-199,4;0;-199,4;0;715,5;715,5;0;0;0;178,502;178,502;0;0;0;;;
20180102;6;-722;2,4;-719,6;-273,3;0;-273,3;0;977,85;977,85;0;0,4;0,4;199,604;199,604;0;0;0;;;
